title,original_lang,popularity,vote_count,vote_average
Live Free or Die Hard,en,34.516,3704,6.5
Trainspotting,en,34.351,6262,8
Arrival,en,34.306,11827,7.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,34.213,6690,7.1
Ralph Breaks the Internet,en,34.193,3924,7.1
Nightcrawler,en,34.128,6764,7.7
Back to the Future,en,34.117,12608,8.3
Shutter Island,en,33.953,14830,8.1
Cinderella,en,33.897,5110,6.7
The Kissing Booth,en,33.891,4110,7.2
The Wolf of Wall Street,en,33.874,14550,8
Sixteen Candles,en,33.818,1278,6.8
Sinbad and the Eye of the Tiger,en,33.739,81,6.5
The Panti Sisters,tl,33.687,3,2.7
Kiss and Kill,en,33.449,10,4.2
The Equalizer,en,33.328,5664,7.2
Twilight,en,33.198,8485,6.1
Predator,en,33.167,4281,7.4
Isi & Ossi,de,33.091,339,6.9
Big Hero 6,en,33.063,11324,7.8
Aquaman,en,33.051,8234,6.8
I Am Legend,en,32.858,10255,7.1
Teenage Mutant Ninja Turtles,en,32.846,4714,5.8
The Twilight Saga: New Moon,en,32.833,5942,5.8
Kannum Kannum Kollaiyadithaal,ta,32.813,23,6.1
The Equalizer 2,en,32.796,2617,6.5
Alita: Battle Angel,en,32.795,4537,6.9
Uncut Gems,en,32.777,1468,7.2
Venom,en,32.77,8276,6.6
Indiana Jones and the Last Crusade,en,32.733,6185,7.8
Raiders of the Lost Ark,en,32.723,7624,7.9
Toy Story 3,en,32.698,9807,7.8
Se7en,en,32.681,12430,8.3
Hereditary,en,32.624,3576,7.1
Saekano: How to Raise a Boring Girlfriend Fine,ja,32.617,4,4.5
From Russia with Love,en,32.609,1568,7.1
The Last Summer,en,32.54,899,6
Batman Begins,en,32.511,13846,7.7
Us,en,32.507,3606,7
Insurgent,en,32.428,7469,6.3
Logan,en,32.364,13788,7.8
Troy,en,32.28,6320,7
Ice Age,en,32.277,8572,7.3
After the Sunset,en,32.21,396,6.2
"I, Robot",en,32.188,7870,6.9
Death Race: Beyond Anarchy,en,32.123,113,5.8
Dances with Wolves,en,32.105,2369,7.8
Code 8,en,32.063,373,6.2
Harry Potter and the Goblet of Fire,en,31.997,12747,7.8
Thor,en,31.985,14399,6.7
Ne Zha,zh,31.982,38,7.3
Boyka: Undisputed IV,en,31.972,568,6.4
After,en,31.964,2642,6.1
Trolls World Tour,en,31.945,24,7.9
Finding Nemo,en,31.904,13141,7.8
Dragonheart: Vengeance,en,31.903,73,5.9
The Flu,ko,31.897,494,7.5
The Dividing Wall,zh,31.779,0,0
Les Mis¨¦rables,fr,31.769,377,8
Batman v Superman: Dawn of Justice,en,31.723,12987,5.8
Game of Thrones: Conquest & Rebellion,en,31.532,45,7.9
The Shack,en,31.518,954,7.1
Oldboy,ko,31.499,4513,8.2
Ice Age: The Meltdown,en,31.468,6617,6.6
Jurassic World,en,31.368,15264,6.6
Triple Threat,en,31.345,194,5.9
"The Good, the Bad and the Ugly",it,31.286,4785,8.4
Countdown,en,31.184,539,6.4
Fantastic Beasts and Where to Find Them,en,31.153,13569,7.4
The Meg,en,31.136,3658,5.9
Dr. No,en,31.116,1925,7
Fantasy Island,en,31.081,174,5
The Dark Knight Rises,en,31.04,15579,7.7
Tarung Sarung,id,31.035,0,0
Resistance,en,31.033,0,0
Despicable Me 2,en,31.026,8098,6.9
Hidden Figures,en,31.004,5577,8
Terminator 2: Judgment Day,en,30.992,7769,8
Downhill,en,30.991,19,4.5
28 Days Later,en,30.969,3836,7.2
Incredibles 2,en,30.934,7934,7.5
Miss Bala,en,30.928,173,6.2
Jocks,en,30.897,8,4.8
The Secret Life of Pets 2,en,30.759,1235,6.7
Spider-Man,en,30.72,11390,7.1
The Green Mile,en,30.684,9696,8.5
Lupinranger VS Patranger VS Kyuranger,ja,30.645,2,5.5
Deadpool 2,en,30.625,10745,7.5
